Feature,Horizontal Absolute Difference,Vertical Absolute Difference,Feature Influence,Feature Weight
Authority__column,0.09213029961508831,0.004509727757352935,0.8386893166330649,0.5017696351260138
Cohort__column,0.0,0.0,0.0,NaN
Degree__column,0.06679467210913553,0.0037263451892386515,0.398872905083577,0.22706325486621254
Hub__column,0.11670510199124545,0.009369628221899226,-1.55981365708841,-0.8136474572191664
In-Degree__column,0.08096881321947086,0.0016957364341083428,-0.8719583703496772,-0.4594114951100569
NumPosts__column,0.14044076839071234,0.005173278613771329,-1.5547330376415018,-0.810994921518875
Out-Degree__column,0.035674132161268975,0.003321173416324659,1.0881407903126599,0.6746583821767629
Post Density__column,0.1085323637023111,0.018791768214774407,0.6286207355134135,0.36657700716319536
Post Duration__column,0.28857796956692083,0.019836875421967638,-2.161562011833682,-1.1375719441068126
Subthreadstarter__column,0.12983153409599513,0.020063839489284085,0.003322315969062031,0.0018292710938705263
Threadstarter__column,0.11030846626206203,0.02570679434564524,0.022569765422974432,0.012444432658334103
Week__column,1.89851764326763,0.19140446876424977,-0.6110145969119738,-0.32493211251240445
