Instance,LastWeek,Authority__column,Cohort__column,Degree__column,Hub__column,In-Degree__column,NumPosts__column,Out-Degree__column,Post Density__column,Post Duration__column,Subthreadstarter__column,Threadstarter__column,Week__column
1,False,0.1842752,Coh1,0.125,0.0,0.25,0.32,0.0,0.0612084,0.13758,0.0,0.0,1.0
2,False,0.113562625,Coh1,0.45,0.3177966,0.3,0.44,0.4,0.0125135,0.925317895,0.0,1.0,2.0
3,False,0.1977401,Coh1,0.475,0.406032475,0.3,0.6,0.433333333,0.016533,0.955026316,1.0,1.0,3.0
4,False,0.19440125,Coh1,0.225,0.343642625,0.2,0.32,0.166666667,0.0089089,0.94524,0.0,0.0,4.0
5,False,0.636007825,Coh1,0.3,0.0,0.6,0.56,0.0,0.0163046,0.903843158,0.0,0.0,5.0
6,True,0.37783375,Coh1,0.125,0.0,0.25,0.2,0.0,0.0056508,0.9314,0.0,0.0,6.0
7,True,0.0921376,Coh1,0.05,0.0,0.1,0.2,0.0,0.457834,0.011495789,1.0,0.0,1.0
8,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
9,True,0.06142505,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
10,True,0.06142505,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
11,True,0.06142505,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
12,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
13,False,0.06142505,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
14,False,0.0,Coh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15,False,0.0,Coh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16,False,0.0,Coh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
17,False,0.09784735,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,5.0
18,True,0.125944575,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,6.0
19,True,0.032446475,Coh2,0.275,0.0529661,0.05,0.08,0.333333333,1.0,6.16842E-4,0.0,0.0,1.0
20,False,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,0.00444944,0.473152632,0.0,0.0,1.0
21,True,0.0,Coh2,0.05,0.05800465,0.0,0.04,0.066666667,0.001,0.0,0.0,1.0,2.0
22,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
23,False,0.0921376,Coh1,0.05,0.0,0.1,0.08,0.0,0.0178918,0.117666316,0.0,0.0,1.0
24,True,0.064892925,Coh1,0.075,0.0,0.15,0.12,0.0,0.0195682,0.161378947,0.0,0.0,2.0
25,False,0.33783785,Coh1,0.25,0.0,0.5,1.0,0.0,0.0976935,0.344794737,1.0,0.0,1.0
26,True,0.2595717,Coh1,0.375,0.0,0.75,1.0,0.0,0.0560697,0.976228421,0.0,0.0,2.0
27,False,0.0921376,Coh1,0.05,0.0,0.1,0.08,0.0,1.0,8.17895E-4,0.0,0.0,1.0
28,True,0.032446475,Coh1,0.025,0.0,0.05,0.08,0.0,1.0,7.06316E-4,0.0,0.0,2.0
29,True,0.06142505,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
30,True,0.0921376,Coh1,0.05,0.0,0.1,0.12,0.0,1.0,0.002915789,0.0,0.0,1.0
31,True,0.06142505,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
32,False,0.06142505,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
33,False,0.0,Coh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
34,False,0.0,Coh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
35,False,0.0777605,Coh1,0.025,0.0,0.05,0.08,0.0,1.0,3.81053E-4,0.0,0.0,4.0
36,False,0.0,Coh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
37,True,0.125944575,Coh1,0.075,0.166666675,0.05,0.08,0.066666667,0.0168026,0.125293684,0.0,0.0,6.0
38,False,0.06142505,Coh1,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
39,True,0.0486697,Coh1,0.05,0.0,0.1,0.12,0.0,0.00707057,0.446625263,0.0,0.0,2.0
40,False,0.15356265,Coh1,0.1,0.0,0.2,0.16,0.0,0.013541,0.310947368,1.0,0.0,1.0
41,False,0.3082414,Coh1,1.0,0.7944915,0.9,1.0,0.733333333,0.0714355,0.692564211,0.0,1.0,2.0
42,True,0.056497175,Coh1,0.375,0.116009275,0.05,0.12,0.466666667,0.0326901,0.096601053,0.0,0.0,3.0
43,False,0.214987725,Coh1,0.15,0.0,0.3,0.68,0.0,0.0662884,0.269952632,1.0,1.0,1.0
