Node ID,MESSAGE,Sender,id,maneuver,annotator,annotation_id,created_at,updated_at,lead_time
934522912186433536,Jeeez who knows when Michigan is going to win a game with Haskins as our qb,17sbaucum,5612,"{""choices"": [""Dismay"", ""Neutralize""]}",4,1325,2022-07-08T19:16:33.232060Z,2022-07-08T19:16:33.232083Z,11.171
919692920462114816,RT @justincsimon: Current NFC North QB Situation:  Lions: Stafford Vikings: Keenum Packers: Hundley Bears: Trubisky,17sbaucum,5611,Explain,4,1324,2022-07-08T19:16:19.947466Z,2022-07-08T19:16:19.947524Z,32.973
911387592234536962,@Cwooo92  https://t.co/aRb7ES65Wa,17sbaucum,5610,Engage,4,1323,2022-07-08T19:15:38.120861Z,2022-07-08T19:15:38.120884Z,4.282
950127852393033728,RETWEET to help send @KevinLove to @NBAAllStar! #NBAVOTE https://t.co/qRthL3Ot3O,cavs,5609,"{""choices"": [""Engage"", ""Excite"", ""Back""]}",4,1322,2022-07-08T19:15:08.680292Z,2022-07-08T19:15:08.680316Z,5.527
913159848711176192,"Welcome to The Land, @DwyaneWade!  DETAILS: https://t.co/QlQd1lx0M7  #AllForOne https://t.co/iBUzSRyze0",cavs,5608,"{""choices"": [""Engage"", ""Explain""]}",4,1321,2022-07-08T19:15:01.763829Z,2022-07-08T19:15:01.763886Z,7.32
920444035856248832,I feel so bad for him,17sbaucum,5607,Dismay,4,1320,2022-07-08T19:14:52.750060Z,2022-07-08T19:14:52.750085Z,4.472
953481754580578304,"RT @EDP445: If the Eagles go to the SuperBowl and this tweet gets 10,000 retweets, I will streak that game butt ass naked, sweaty big smell…",17sbaucum,5606,"{""choices"": [""Engage"", ""Excite""]}",4,1319,2022-07-08T19:14:46.610699Z,2022-07-08T19:14:46.610723Z,20.099
973267529912209408,Second-round tender for Vikings OL Nick Easton per source.,ProFootballTalk,5605,NONE,4,1318,2022-07-08T19:14:24.934282Z,2022-07-08T19:14:24.934306Z,1.528
937184066608287747,Urban you are truly retarted,17sbaucum,5604,Neutralize,4,1317,2022-07-08T19:14:20.654418Z,2022-07-08T19:14:20.654475Z,3.521
920017202098720768,RT @McJesse: I've done the research and there's no way her ass is sitting on that stool. https://t.co/AIGNpcJn6G,17sbaucum,5603,"{""choices"": [""Explain"", ""Neutralize""]}",4,1316,2022-07-08T19:14:15.358922Z,2022-07-08T19:14:15.358978Z,6.939
968013250922135552,@faintbunny @Bust_a_klip1 @Ben_steinhoff @casiodelis @kailamick7 @Elliemangan1 @19bsmith  https://t.co/xvd3q3Mwpp,PrimeJTatum,5602,Build,4,1315,2022-07-08T19:13:59.217679Z,2022-07-08T19:13:59.217709Z,8.762
956096973383364608,"RT @ComedyWorIdStar: ""i miss the old cartoon network"" https://t.co/4eY2P5Q6LK",17sbaucum,5601,Dismay,4,1314,2022-07-08T19:13:48.414206Z,2022-07-08T19:13:48.414230Z,12.912
948357891160989696,RT @realDonaldTrump: North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone from h…,17sbaucum,5599,Dismay,4,1312,2022-07-08T19:11:40.759178Z,2022-07-08T19:13:32.155387Z,2907.877
917884282399543296,when you see your twitch mod at an event https://t.co/wmHbR0QFEE,TooTaIIJones,5600,Dismay,4,1313,2022-07-08T19:11:54.419914Z,2022-07-08T19:11:54.419971Z,11.28
962508072173342720,@Charmvnder @JayySwavey Trashcans defend trashcans. Never ending cycle,17sbaucum,5598,Neutralize,4,1311,2022-07-08T19:11:33.547988Z,2022-07-08T19:11:33.548045Z,6.068
939980330169184257,@TheBigHerman @ArifHasanNFL How about we stay with whats working and play teddy next year. That should be the plan… https://t.co/16cwLqunub,17sbaucum,5597,"{""choices"": [""Explain"", ""Back""]}",4,1310,2022-07-08T19:11:26.102373Z,2022-07-08T19:11:26.102430Z,9.71
923561916135505921,RT @ArifHasanNFL: And Teddy https://t.co/2G80VRCS8s,17sbaucum,5596,Back,4,1309,2022-07-08T19:11:14.274509Z,2022-07-08T19:11:14.274533Z,4.784
946499431410683906,RT @smartfootball: This box score for Navy is giving me tingly feelings. Zero passing yards (on 0 for 1 passing)... but 455 rushing yards a…,17sbaucum,5595,"{""choices"": [""Explain"", ""Excite""]}",4,1308,2022-07-08T19:11:07.949221Z,2022-07-08T19:11:07.949279Z,6.857
919658750696443904,Another win for the good guys! #Skol https://t.co/DaHkb79feg,Vikings,5594,"{""choices"": [""Excite"", ""Back""]}",4,1307,2022-07-08T19:10:59.022288Z,2022-07-08T19:10:59.022331Z,7.508
