,Unnamed: 0,Node ID,MESSAGE,merge,Dismay,Excite
0,0,9.345229121864335e+17,Jeeez who knows when Michigan is going to win a game with Haskins as our qb,"Dismay, Neutralize",1,0
1,1,9.196929204621148e+17,RT @justincsimon: Current NFC North QB Situation:  Lions: Stafford Vikings: Keenum Packers: Hundley Bears: Trubisky,Explain,0,0
2,2,9.11387592234537e+17,@Cwooo92  https://t.co/aRb7ES65Wa,Engage,0,0
3,3,9.501278523930336e+17,RETWEET to help send @KevinLove to @NBAAllStar! #NBAVOTE https://t.co/qRthL3Ot3O,"Engage, Excite, Back",0,1
4,4,9.131598487111762e+17,"Welcome to The Land, @DwyaneWade!  DETAILS: https://t.co/QlQd1lx0M7  #AllForOne https://t.co/iBUzSRyze0","Engage, Explain",0,0
5,5,9.204440358562488e+17,I feel so bad for him,Dismay,1,0
6,6,9.534817545805784e+17,"RT @EDP445: If the Eagles go to the SuperBowl and this tweet gets 10,000 retweets, I will streak that game butt ass naked, sweaty big smell…","Engage, Excite",0,1
7,7,9.732675299122094e+17,Second-round tender for Vikings OL Nick Easton per source.,—,0,0
8,8,9.371840666082876e+17,Urban you are truly retarted,Neutralize,0,0
9,9,9.200172020987208e+17,RT @McJesse: I've done the research and there's no way her ass is sitting on that stool. https://t.co/AIGNpcJn6G,"Explain, Neutralize",0,0
10,10,9.680132509221356e+17,@faintbunny @Bust_a_klip1 @Ben_steinhoff @casiodelis @kailamick7 @Elliemangan1 @19bsmith  https://t.co/xvd3q3Mwpp,Build,0,0
11,11,9.560969733833646e+17,"RT @ComedyWorIdStar: ""i miss the old cartoon network"" https://t.co/4eY2P5Q6LK",Dismay,1,0
12,12,9.483578911609896e+17,RT @realDonaldTrump: North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone from h…,Dismay,1,0
13,13,9.178842823995432e+17,when you see your twitch mod at an event https://t.co/wmHbR0QFEE,Dismay,1,0
14,14,9.625080721733428e+17,@Charmvnder @JayySwavey Trashcans defend trashcans. Never ending cycle,Neutralize,0,0
15,15,9.399803301691844e+17,@TheBigHerman @ArifHasanNFL How about we stay with whats working and play teddy next year. That should be the plan… https://t.co/16cwLqunub,"Explain, Back",0,0
16,16,9.23561916135506e+17,RT @ArifHasanNFL: And Teddy https://t.co/2G80VRCS8s,Back,0,0
17,17,9.46499431410684e+17,RT @smartfootball: This box score for Navy is giving me tingly feelings. Zero passing yards (on 0 for 1 passing)... but 455 rushing yards a…,"Explain, Excite",0,1
18,18,9.19658750696444e+17,Another win for the good guys! #Skol https://t.co/DaHkb79feg,"Excite, Back",0,1
19,19,9.313294881426842e+17,This game is to easy https://t.co/764KVdpJGS,"Excite, Dismiss",0,1
20,20,9.75193010974675e+17,@ViNZiIIA Is it in competitive?,Engage,0,0
21,21,9.175637437221806e+17,RT @BandChaserMooda: I know I’m not this mufucking high ‍♂️ I stamp nobody driving this car  https://t.co/VPCo1WChGP,Dismay,1,0
22,22,9.47205349395886e+17,RT @OhioStateFB:  Cotton Bowl Champs  #GoBucks https://t.co/qOVQTGYnTZ,Back,0,0
23,23,9.743258920455086e+17,"I had a Dream last night that drake, travis and Juju smith played fortnite together",—,0,0
24,24,9.711555164906988e+17,RT @DomClare: The Vikings have about a 3 year window to win a Superbowl with their roster. To not put a full effort towards that to save $1…,Dismay,1,0
25,25,9.735739993923174e+17,Kirk Cousins will sign with the Vikings.,—,0,0
26,26,9.263156116046193e+17,Lonzo is trash lol.,"Dismay, Neutralize",1,0
27,27,9.235547634295972e+17,And Teddy https://t.co/2G80VRCS8s,Back,0,0
28,28,9.294710525178511e+17,RT @TGHSports: Mike Weber and the Buckeyes are giving it to Michigan State right now. Weber with the long touchdown run! #GoBuckeyes https:…,"Excite, Back",0,1
29,29,9.375788739649412e+17,@Wiz_K1LLa Hope all is fine,Excite,0,1
30,30,9.501429355715994e+17,@K1Ila that team you dumped because you thought you stood no chance with at Nola is last map with OG in the 2k with… https://t.co/qjZiU2jx82,"Explain, Back",0,0
31,31,9.243593136107232e+17,Lol,Excite,0,1
32,32,9.732746447142257e+17,RT @ProFootballTalk: Second-round tender for Vikings OL Nick Easton per source.,—,0,0
33,33,9.222072917509692e+17,@rahim_shaw @JKap415 https://t.co/fju5FB8l31 Trust the process am I right lmaooooooooooòooo,Excite,0,1
34,34,9.337461850761668e+17,@BeniTheGangster @CypherTheGod @BryantBomb17 @eGoTheIcoN @realDonaldTrump Cyph participated in a white supremacy Ra… https://t.co/yppeiXQsd1,"Dismay, Build",1,0
35,35,9.736357209874678e+17,"RT @SportsCenter: Breaking: Kirk Cousins is likely to sign with the Minnesota Vikings, per @AdamSchefter. No final decisions have been mad…""","Excite, Enhance",0,1
36,36,9.20322394161664e+17,#AllForOne,Back,0,0
37,37,9.204784216035452e+17,RT @cavs: #CavsOpener win in the books.   #AllForOne https://t.co/FBrzb2ooVs,Excite,0,1
38,38,9.323486379668276e+17,"Vikings lead the Rams 21-7 in the 4th quarter.  Entering Week 11, the Rams were 1 of 2 teams that hadn't trailed by… https://t.co/DNEcw3vW84","Explain, Back",0,0
39,39,9.31250266074157e+17,How come I can't join back in a Gb after I lag out,—,0,0
40,40,9.375786484582031e+17,RT @ArifHasanNFL: Your #1 in the NFC Vikings https://t.co/BmZu8C4Pj7,Back,0,0
41,41,9.635182106907648e+17,@CODGamepedia EG is 1-3,Explain,0,0
42,42,9.345098638745068e+17,DWYANE HASKINS su7euej osjsjdj,"Excite, Back",0,1
43,43,9.408322944068854e+17,I am not paying for this garbage ass app #NetNeutrailty,"Dismay, Neutralize",1,0
44,44,9.447323479073464e+17,@TheKingImpulxz You think Dedication 6 is going to be good,"Engage, Build",0,0
45,45,9.116450307581256e+17,Future Heisman winner,Back,0,0
46,46,9.377513619025632e+17,"RT @SportsCenter: Derrick Rose's self-imposed exile has ended, sources tell @wojespn:  https://t.co/GxlwbpXfRV",Enhance,0,0
47,47,9.302406793803858e+17,THE ROOK VS. THE KING!! https://t.co/ogY8AEtRCt,Excite,0,1
48,48,9.388678895739986e+17,@FPB_ZA nah fam,Dismiss,0,0
49,49,9.4509567894605e+17,RT @Rob_Lowder: The traits displayed by Jimmy Garoppolo in this video is the stuff #NFL front offices spend countless hours searching for i…,"Excite, Back",0,1
50,50,9.388763269325988e+17,RT @mrfeelswildride: @FPB_ZA nah fam,Dismiss,0,0
51,51,9.273533004244582e+17,52 points on 17-20 shooting in 3 quarters.  James Harden is having a HUGE night in Houston. https://t.co/s4LVErCCeu,"Explain, Excite, Back",0,1
52,52,9.371850095507416e+17,B1G  #GoBucks https://t.co/Lr85o5OlWT,Back,0,0
53,53,9.3132717036177e+17,"@charlieINTEL @Bl3nd_VRS @Nadeshot 100%:  Players join MP lobbies based on lowest ping, not SBMM. Period. (MMR will… https://t.co/H7sbsaUWB7",Neutralize,0,0
54,54,9.631820007262496e+17,RT @realDonaldTrump: 4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently Pas…,"Excite, Boost",0,1
55,55,9.616793663705498e+17,Here’s a tribute to Cleveland Cavaliers legend Isaiah Thomas... https://t.co/Tx8XBJYI0V,Back,0,0
56,56,9.21527316492247e+17,"RT @mitchelmusso: fuckin Diamond plaid, double collar, pants like wtf lookin motherfucka and the shoes? What in the actual fuck. Why they d…","Dismay, Neutralize",1,0
57,57,9.345085995268096e+17,@19truthserum You watching the Michigan Ohio state game?,"Engage, Build",0,0
58,58,9.193524453687172e+17,RT @BuckeyeVideos: J.K. DOBBINS! 7-0 Buckeyes! #OSUvsNEB https://t.co/x5GUWtnTBt,"Explain, Excite, Back",0,1
59,59,9.527101706516276e+17,I'm in shock,"Excite, Dismay",1,1
60,60,9.33755795719762e+17,Case Keenum making a hell of a case to remain Vikings starting QB with impressive opening drive td pass.,"Excite, Back",0,1
61,61,9.385642026456392e+17,https://t.co/Z9Ie4ea8hw,—,0,0
62,62,9.166919227517748e+17,@OpTicHitch where's the bracket,Engage,0,0
63,63,9.422480894102938e+17,"RT @cn12321: @decemate @BevilsCOD @Wiz_K1LLa TEAM WITH SLOSS, HES EASILY THE BEST F/A OUT THEIR, STOP BEING STUPID AND TEAM WITH SOMEONE WH…","Dismay, Build, Neutralize",1,0
64,64,9.214268308292772e+17,RT @World_Wide_Wob: lollll Patrick Beverley is just the most amazing troll  ... “Bitch!!” https://t.co/qABtddtzX1,"Excite, Back",0,1
65,65,9.440697080804516e+17,LIL Wayne is a inspiration,Back,0,0
66,66,9.396847458223022e+17,[Pool D | Alpha]  UP NEXT:  This is what we've all wanted..  @eUnitedgg vs. @FaZeClan up next on Alpha!  #CWLDallas… https://t.co/KODIi7e4Or,Excite,0,1
67,67,9.50151178108666e+17,RT @cavs: RETWEET to help send @KingJames to @NBAAllStar! #NBAVOTE https://t.co/55lw5RWfDC,"Engage, Excite, Back",0,1
68,68,9.156739374466048e+17,@BleacherReport https://t.co/rmoSI4mCt9,Explain,0,0
69,69,9.386640206299505e+17,@BleacherReport @MarkKaboly @hominizing @ChemWreck,Build,0,0
70,70,9.472896154546628e+17,@DeRxssi @FreeMahrez @LILBTHEBASEDGOD None of the Lakers pass except lonzo. Whole team pads their stats all game lol,"Back, Neutralize",0,0
71,71,9.683530265357764e+17,"RT @ShonNotSean: Been living in NYC way too long. Saw a guy on the tracks this AM, with the B train speeding ahead. Tried to pull him out a…","Dismay, Neutralize",1,0
72,72,9.395790181475204e+17,@Sulpho Who costed,Dismay,1,0
73,73,9.1202122141551e+17,Cooper D'oh! https://t.co/3nI8uzvDd1,Dismay,1,0
74,74,9.073987128587264e+17,RT @DomClare: Does this stop the preseason overreaction about the #Vikings not being able to score? https://t.co/hd0gYOsCtY,"Enhance, Back",0,0
75,75,9.446214402461244e+17,RT @ChickenColeman: 107-46? Nigga y’all fucking garbage https://t.co/Za9cxOcUI0,"Explain, Dismay, Neutralize",1,0
76,76,9.246778293920358e+17,We got what we came here for. #Skol https://t.co/NXxh2paCAp,"Excite, Back",0,1
77,77,9.520058629561304e+17,Embarrassing basketball. Fucking terrible @cavs,"Dismay, Neutralize",1,0
78,78,9.26869634006913e+17,Thank you to the Halo community for the support the past two years. Loved every second of it but its time to go back to where I started.,"Excite, Boost",0,1
79,79,9.273640964791214e+17,RT @SportsCenter: 52 points on 17-20 shooting in 3 quarters.  James Harden is having a HUGE night in Houston. https://t.co/s4LVErCCeu,"Explain, Excite, Back",0,1
80,80,9.451795306076364e+17,@ZooMaa Bunch of horny gamers replyed to this. Insane!!,"Dismay, Neutralize",1,0
81,81,9.345793280877158e+17,https://t.co/UfHmVrsLJE,—,0,0
82,82,9.469147287559864e+17,This is the verified Gofundme of the 28 year old father that was shot &amp; killed due to the swatting! If you cant aff… https://t.co/jrSZzumsXS,"Engage, Dismay, Back",1,0
83,83,9.196276337674732e+17,Braxton miller is a bust,Neutralize,0,0
84,84,9.301856828653116e+17,@DomClare Can you just wait until next season for teddy to play. We are on a 5 game winning streak rn with keenum and doing great,"Back, Neutralize",0,0
85,85,9.527113763672268e+17,RT @Vikings: WHAT ON THE WORLD JUST HAPPENED??!?!?,"Excite, Dismay",1,1
86,86,9.34216048001286e+17,"RT @JordanCMaly: If this really is the end for Derrick Rose, I have to share this again. Out of every moment he gave Bulls fans, this one t…","Engage, Dismay, Back",1,0
87,87,9.186966716004556e+17,@JKap415 Who cares lol,Dismiss,0,0
88,88,9.14684650882298e+17,@Charmvnder @ViNZiIIA @CypherTheGod,Build,0,0
89,89,9.42199299693146e+17,With the left hand.   #CavsJazz | #AllForOne https://t.co/Y0bwu6suKB,"Excite, Back",0,1
90,90,9.53518679702016e+17,RT @MeninistTweet: imagine driving and out of no where you see this https://t.co/VKVgRgm7Dw,Excite,0,1
91,91,9.28331809678676e+17,RT @Vikings: .@teddyb_h2o has been activated to the 53-man roster and Sam Bradford has been placed on IR.  https://t.co/xC5yQkSL4j https://…,—,0,0
92,92,9.37143745660715e+17,DOPKINS LET'S GOoOOOOOo,"Excite, Back",0,1
93,93,9.298213391874048e+17,RT @DomClare: 7-2! Good team win by the #Vikings!! #Skol,"Excite, Back",0,1
94,94,9.603521954588468e+17,RT @SportsCenter: The Philadelphia Eagles have done it! https://t.co/uT8aErG78L,"Excite, Back",0,1
95,95,9.320891809429873e+17,RT @OhioStateFB: The B1G East belongs to the Buckeyes.  #GoBucks https://t.co/cfYGDH2o7X,Back,0,0
96,96,9.762818536812872e+17,"Maryland Shooting:  - good guy with a gun stops bad guy with a gun  So, no... No CNN No Vigil No Parades No walk out No Protest No Hoggs","Dismay, Neutralize",1,0
97,97,9.073795004466012e+17,RT @DaiIyMemeSuppIy: wow florida is getting bad https://t.co/WRiO9crWGT,Neutralize,0,0
98,98,9.764874414345952e+17,Good one https://t.co/tvoRbc366p,Back,0,0
99,99,9.527351027689636e+17,2 time Fucking champion @MJCheen,Back,0,0
100,0,1.2903102782072463e+18,"RT @SpokespersonCHN: What the #US is doing with #TikTok reminds one of France's #Alstom in The American Trap and Japan's #TOSHIBA in the 1980s. For the US, national security is  just another name for hegemony. https://t.co/LuUkO0lrg2","Distort, Neutralize",0,0
101,1,1.2902950645691187e+18,"RT @Ali_AkbarMSM: #QurbaaniWithMinhaj  The Holy Prophet Muhammad a.s Said that Charity clear,s you from all sin,s and cool the fire of hell.",Explain,0,0
102,2,1.2902366112721633e+18,"“Kindness is a mark of faith, and whoever is not kind has no faith” Prophet Muhammad (peace be upon him)",—,0,0
103,3,1.2903583258304594e+18,Start of Tour de France in Denmark moved to 2022 | More sports News https://t.co/Hb1N1MR8vj,—,0,0
104,4,1.2902873740989317e+18,@cordonblues09 haven't seen such a beautiful cake even in France,—,0,0
105,5,1.290354142318338e+18,"RT @theworldindex: Number of nuclear reactors under construction:  China: 12 India: 7 Russia: 4 S Korea: 4 UAE: 4 Bangladesh: 2 Belarus: 2 Japan: 2 Slovakia: 2 PAK: 2 Turkey: 2 UK: 2 US: 2 Argentina: 1 Finland: 1 France: 1 Iran: 1  (World Nuclear Association, 2020)",Enhance,0,0
106,6,1.2903242805097144e+18,RT @mfr_990: Let's see the real face of so called Islamic country where arrogant of Prophet Muhammad (SAW) is killed the Ghazi is arrested.... So shame...  #غازی_فیصل_کورہا_کرو https://t.co/6neRe43Pc4,"Dismay, Neutralize",1,0
107,7,1.290314134752551e+18,"RT @Captain_sahb: As citizen of Pakistan,  I testify that there is No GOD but ALLAH &amp; Prophet MUHAMMAD ﷺ is the Last Messenger of ALLAH. ❤️",Back,0,0
108,8,1.2902646479588434e+18,"Prophet is reported to have said: Do not invoke incomplete salawat upon me"". He was asked: ""What is incomplete salawat?"" He replied them: ""When you say: 'O Allah",—,0,0
109,9,1.288417597143343e+18,@ReadingFC  the giant of the English Championship along with Macron the technical sponsor of the RFC as well as the international leader in Teamwear for the sportswear sector is looking to present the new 'Home' and 'Away' kits for the 2020-2021 season. #WorkHardPlayHarder https://t.co/Z28TTlbYsf,—,0,0
110,10,1.289951131976647e+18,#Rajinified OVERLOAAAAD #MoondruMugam Opening celebration in France #MoondruMugamInFrance @sathyamovies @AannaFilms @FranceRMM @RajiniFC_France https://t.co/N0vuCuRks7,—,0,0
111,11,1.29031141434359e+18,"RT @camillecasabar: Go France!!!!   Spain, anyone? Hello? Can someone say something, do something about separated binational couples/families? Por favor.  @sanchezcastejon  @AranchaGlezLaya @MAECgob @salmebe @interiorgob #LoveIsNotTourism https://t.co/n17r9q1ZfY","Back, Neutralize",0,0
112,12,1.2903523486578565e+18,"RT @amnakalim07: ‘May the curse of Allah be on the one who treats animals harshly.’  ‘Those who are kind and considerate to Allah’s creatures, Allah bestows his kindness &amp; affection on them. Show kindness to the creatures on the earth so that Allah may b kind 2 u.’  Prophet Muhammad (P.B.U.H).","Enhance, Back",0,0
113,13,1.2903870293904998e+18,RT @Abdullah7481439: When someone insult our religion and prophet Muhammad (saw) Allah will send a hero for him...salute to all our hero's... Hazrat Muhammad (saw) is the last prophet of Allah... #غازی_فیصل_کورہا_کرو https://t.co/bFMiViZjZD,Back,0,0
114,14,1.290332954070102e+18,"RT @DeadlineDayLive: BREAKING: Arsenal are now in pole position to sign Chelsea winger Willian after offering the Brazilian the best salary on the table and a contract that lasts for 3 seasons, with an option of a further year.  (Source: France Football) https://t.co/4f3JVozNVO",—,0,0
115,15,1.2903123573658993e+18,"France Football have made a change on their article, they now reporting that Willian offer for Willian is 3 years but he wants 3 years with an option for a 4th.",—,0,0
116,16,1.290425025040773e+18,"RT @omarsuleiman504: The Prophet Muhammad (peace be upon him) said that a smile in the face of your brother is charity.  He also said that what you spend on your family is the most rewardable form of charity.  How rewarding then is a smile in the face of a parent, spouse, sibling, or child?","Explain, Back",0,0
117,17,1.2903412153057075e+18,"The Prophet Muhammad (peace be upon him) said that a smile in the face of your brother is charity.  He also said that what you spend on your family is the most rewardable form of charity.  How rewarding then is a smile in the face of a parent, spouse, sibling, or child?","Explain, Back",0,0
118,18,1.2903717833553265e+18,RT @mfr_990: Let's see the real face of so called Islamic country where arrogant of Prophet Muhammad (SAW) is killed the Ghazi is arrested.... So shame...  #غازی_فیصل_کورہا_کرو https://t.co/6neRe43Pc4,"Dismay, Neutralize",1,0
119,19,1.2903641222159852e+18,RT @itsaamirr: “A good man treats women with honour.”   Prophet Muhammad (peace be upon him),—,0,0
120,20,1.2903742942502175e+18,RT @Ncp_France: เงี่ยนมันก็ต้องมีกาลเทศะนะ,—,0,0
121,21,1.2902760370209423e+18,Tour de France start from Copenhagen delayed from 2021 to 2022: mayor https://t.co/iP9UrWizFF,—,0,0
122,22,1.290322440711598e+18,"RT @Solange54138238: Please  France, give  Germany and  Spain another example how to safely let binational couples and families reunite. #LoveIsNotTourism https://t.co/Madsrvx2uY","Back, Neutralize",0,0
123,23,1.2901983714294292e+18,"1. The war mongering mentality of Fulani  can never be extinguished by logic nor reason. As an aimless wandering tribe of herders, they are genetically programmed to levy war on lazy unsuspecting indigenous populations that make the mistake of welcoming them. https://t.co/1lZq5MtClz","Dismay, Neutralize",1,0
124,24,1.2902914594098258e+18,RT @artinfinitus: Éric Le Pape La Bretagne #ericlepape #french #bretagne #fineart #arthistory #art #artgallery #artinfinitus #arte #italy #paris #france #abstractpainting  #postimpressionism #landscapepainting  #beautiful #red #reflection #sea #seascapepainting #seascape #marines #ship #boat https://t.co/PF6C9BNioZ,—,0,0
125,25,1.2904146763508408e+18,@majidkhan1_ @Ahmedullahwazir @Gulalai_Ismail Hazrat Muhammad S.A.W ALLAH TALLAH ki taraf se aye huay Last Prophet and Messenger hain. Ghulam Ahmed Qadiyani ne nabi honay ka dawa kia. Jo ke bohat bara gunah hai. Ye Quran Paak ko nhi maantay. Non Muslims tu hain hi non Muslims.,—,0,0
126,26,1.2902559748847616e+18,เมื่อเพื่อนชาวฝรั่งเศสต้องการกำลังใจ  I was born to make you happy. Please DON’T CRY &amp; SMILE. I’m with you. See you in #France or #SouthKorea or #Thailand ❤️    Love  #SelfLove #LoveYourself #BeKindToOneAnother #treatpeoplewithkindness https://t.co/Imi9X5bzwi,Excite,0,1
127,27,1.290281274368594e+18,RT @ShellenbergerMD: Germany’s renewables experiment is over.   By 2025 it will have spent $580B to make electricity nearly 2x more expensive &amp; 10x more carbon-intensive than France’s.   The reason renewables can’t power modern civilization is because they were never meant to. https://t.co/zHwRTePEoI,"Explain, Neutralize",0,0
128,28,1.290364635237974e+18,RT @lauferdaniel: World's largest airplane has just touched down in #TelAviv Israel.  @AntonovCompany's massive #AN225 flew from Maine via Scotland &amp; France.  #AvGeek https://t.co/8A4UIVnbpo,Explain,0,0
129,29,1.290301969161007e+18,@Thierry413701 @Quantic_QBit Lol t'as trop raison Macron démission,Neutralize,0,0
130,30,1.2903471865727263e+18," Galatasaray'da kadro dışı kalan Mustafa Kapı, Fransız ekibi Lille ile beş yıllık sözleşme imzalayacak.  (France Football) https://t.co/u6XQcVQXCW",—,0,0
131,31,1.2903755167850824e+18,"RT @omarsuleiman504: The Prophet Muhammad (peace be upon him) said that a smile in the face of your brother is charity.  He also said that what you spend on your family is the most rewardable form of charity.  How rewarding then is a smile in the face of a parent, spouse, sibling, or child?","Engage, Back",0,0
132,32,1.290286718793343e+18,RT @budimandjatmiko: Juga menyuburkan nasionalisme baru di wilayah2 jajahan krn banyak korban pandemi Black Death di wikayah jajahan. Di koloni2 ini jg muncul intelektual2 non Eropa hasil politik etis (krn tuntutan liberal &amp; sosialis produk Revolusi Prancis yg berdampak se Eropa),Explain,0,0
133,33,1.2899856060684943e+18,"Look at those ears! Cave bear head painted in the Alcove of the Lions at Chauvet in southern France. This remarkable image was created deep below ground by lamplight over 30,000 years ago. Image source https://t.co/hW9EM6YJay https://t.co/zGVXTyJ0lR",Enhance,0,0
134,34,1.290332628940464e+18,"RT @SPA_Officiel:  1 retweet = 1€ reversé à la SPA  Objectif : 40000 partages !   Chaque été, en France, 60000 animaux sont abandonnés. Et les aires d'autoroute ne sont pas épargnées...   Pour la 4ème année consécutive, @GroupeAPRR s'engage avec La SPA pour lutter contre ce fléau. https://t.co/4drriJR481","Explain, Dismay",1,0
135,35,1.2894138522248397e+18,"Le projet de loi bioéthique vient d'être adopté en 2e lecture par l’Assemblée nationale. Je salue l'engagement des parlementaires, des membres du gouvernement et du Comité consultatif national d'éthique. Ils ont permis l'adoption d'un texte d'équilibre dans un débat apaisé.","Explain, Back",0,0
136,36,1.2904252035546235e+18,"RT @omarsuleiman504: The Prophet Muhammad (peace be upon him) said that a smile in the face of your brother is charity.  He also said that what you spend on your family is the most rewardable form of charity.  How rewarding then is a smile in the face of a parent, spouse, sibling, or child?","Explain, Back",0,0
137,37,1.29032128430857e+18,"LILLE'E BİR TÜRK DAHA!  FLAŞ! Lille, Mustafa Kapı ile 5 yıllık sözleşme imzalayacak. (France Football) https://t.co/07POHBFHa9","Engage, Enhance",0,0
138,38,1.2902886689014292e+18,If you need organic #youtube_promotion or #video_promotion or any types of promotion please knock me at #fiverr My link is https://t.co/r3nbhlKuyV  #freelance #agriculture #DonaldTrump #corona #usa #UK #France #Canada #WorkFromHome #YouTube #Instagram #sports #Spotify #music #Art,Enhance,0,0
139,39,1.2904363449264046e+18,"RT @LovesNotTourism: Music to our ears! France ❤️ “The health crisis has separated couples [..].The @francediplo &amp; @Interieur_Gouv teams work with the #LoveIsNotTourism collective, which legitimately covers this painful subject.  ➡️ a dedicated solution will be implemented in the next few days.” https://t.co/bs2gDEqaOC","Excite, Back",0,1
140,40,1.290311843890598e+18,"RT @Solange54138238:  Merci, la France!!!!!!  Please,  do the same!!! @BMI_Bund @BMISprecher @HeikoMaas @EU2020DE",—,0,0
141,41,1.2902210532313416e+18,I can speak for #Europe : we have a duty to #Africa. #France can and should assist with holding à Peace talk for #Cameroon. French citizens want it.  Politicians don’t care.  #peace #dialogue #european https://t.co/SiwWDYkQDi,"Build, Neutralize",0,0
142,42,1.2903182701097574e+18,https://t.co/SSpPFMZK5i #MAILMERGE #fiverr #microsoftexcel #mailmerge #Microsoftword #freelancer #farhangul #lookingfor  #USA #Remotework #Contractor #australia #Germany #france #UK #online,—,0,0
143,43,1.2904134467696435e+18,RT @DhermiesWilly: Comment il me fais trop rire @FaresSalvatore1  en saah il veut plus rentrer en France il a demander la nationalité mexicaine je crois  https://t.co/UBRLPsQSQC,—,0,0
144,44,1.2900835839823626e+18,"Les pauvres en France même un regard vous leur accordez pas, ils ont même pas le droit à l'humanité ou la dignité, vous venez leur reprocher d'avoir le RSA ou la bourse du CROUS mais crari vous allez payer un avion pr sauver les miséreux de l'Asie ptdrr bye",Dismay,1,0
145,45,1.2902169865347932e+18,"@zhang_heqing French President Macron loves Tik Tok, unlike those fearmongering Washington politicians.","Back, Neutralize",0,0
146,46,1.290383440123134e+18,Fuck France,Neutralize,0,0
147,47,1.2901931180509348e+18,ขี้เงี่ยนก็จริงแต่ไม่ใช่ทุกครั้งที่จะแสดงมันออกมาได้นะ,—,0,0
148,48,1.2903862653518277e+18,France halts ratification of extradition treaty with Hong Kong https://t.co/hIK1c4OSey,—,0,0
149,49,1.2902902066171126e+18,RT @ChukwudubemIgb1: @MaziNnamdiKanu @SecPompeo @StateDept @USIP @silentslaughter @UKinNigeria @EUinNigeria @CFR_org @UN_Nigeria @10DowningStreet @JohnCampbellcfr https://t.co/NX9QTCoa3S @netanyahu @PMOIndia @JapanGov @CanadianPM @BrazilGovNews @BorisJohnson_MP @MFA_Austria @KremlinRussia_E @SpainMFA @EmmanuelMacron @EU_Commission @FinGovernment @jihadwatchRS @SwedishPM @govsingapore @ScottMorrisonMP @UKParliament @PressSec @WhiteHouse,Build,0,0
150,50,1.2902977511801733e+18,"After #USA and #UK, now in #France!!  #Life_In_The_Cage  published at @loeildelaphotographie They published 40 images of this project!!  https://t.co/NijGyBdqSb  #personalproject #quarantine #pandemic #COVID19 #selfportrait #Chittagong #Bangladesh #Lockdown #Isolation #Dairy",Enhance,0,0
151,51,1.2903213142140314e+18,"RT @Captain_sahb: As citizen of Pakistan,  I testify that there is No GOD but ALLAH &amp; Prophet MUHAMMAD ﷺ is the Last Messenger of ALLAH. ❤️","Engage, Back",0,0
152,52,1.2903409142427484e+18,@iamhamzaabbasi May he be the true lover of Allah Almighty and the last prophet Hazrat Muhammad (PBUH),Back,0,0
153,53,1.2903458018358518e+18,RT @Icarus__Flight: RAPPEL : c’est illégal en France d’entraver l’accès à un avortement sécurisé et de donner de fausses informations dessus. https://t.co/r4FDyMRCZu,Explain,0,0
154,54,1.2902954028397322e+18,"New update: 03 August https://t.co/iozvgppIB4 Poland, France: +48732104585, +48732104585 Canada: +12048005784 United States : +12012987508, +12056627095 United Kingdom: +447418312628, +447418312843 Estonia, France: +37282720127, +33644639578",—,0,0
